Station Name,Stanox,Latitude,Longitude
Acton Central Rail Station,72252,51.50847,-0.26291
Anerley Rail Station,87644,51.41215056,-0.065859803
Barking Rail Station,51530,51.54334,0.07172
Battersea Park Rail Station,87203,51.48207,-0.1466
Bethnal Green Rail Station,52739,51.52388,-0.05982
Blackhorse Road Rail Station,51555,51.58660552,-0.041209759
Brockley Rail Station,87629,51.46464726,-0.037510903
Brondesbury Park Rail Station,72414,51.54062,-0.21029
Brondesbury Rail Station,72415,51.54516617,-0.20228372
Bruce Grove Rail Station,51952,51.59395935,-0.06984192
Bush Hill Park Rail Station,51947,51.64151935,-0.06919476
Bushey Rail Station,72003,51.6455845,-0.384725998
Caledonian Road & Barnsbury Rail Station,52058,51.54304142,-0.116703078
Cambridge Heath (London) Rail Station,52738,51.53197223,-0.057251933
Camden Road Rail Station,72422,51.5418,-0.1388
Canonbury Rail Station,52048,51.54873255,-0.092164332
Carpenders Park Rail Station,72004,51.62835347,-0.385916631
Chadwell Heath Rail Station,50405,51.56803811,0.128985143
Cheshunt Rail Station,51815,51.70193,-0.02399
Clapham High Street Rail Station,87209,51.46547997,-0.132496138
Clapham Junction Rail Station,87219,51.46335,-0.17253
Clapton Rail Station,52735,51.5616437,-0.056998275
Crouch Hill Rail Station,51563,51.57130285,-0.117122773
Crystal Palace Rail Station,87625,51.41810674,-0.072583817
Dalston Kingsland Rail Station,52046,51.54819,-0.0761
Denmark Hill Rail Station,87606,51.46805,-0.08964
Earlsfield Rail Station,87250,51.44233528,-0.187690227
Edmonton Green Rail Station,51949,51.62492905,-0.061087329
Emerson Park Rail Station,50391,51.56864245,0.220139902
Enfield Town Rail Station,51946,51.65165,-0.07874
Finchley Road & Frognal Rail Station,72417,51.55026646,-0.183115237
Forest Hill Rail Station,87627,51.43927809,-0.053131211
Goodmayes Rail Station,50412,51.56557815,0.110833738
Gospel Oak Rail Station,72419,51.55548,-0.15136
Gunnersbury Rail Station,87138,51.49141,-0.27553
Hackney Central Rail Station,52044,51.54705,-0.05664
Hackney Downs Rail Station,52736,51.54845,-0.06052
Hackney Wick Rail Station,52040,51.54343,-0.02447
Haggerston Rail Station,52078,51.53870534,-0.075639719
Hampstead Heath Rail Station,72418,51.55521088,-0.165679801
Harlesden Rail Station,72033,51.53628917,-0.257643905
Harringay Green Lanes Rail Station,51561,51.57718291,-0.098118041
Harrow & Wealdstone Rail Station,72007,51.5921691,-0.334548748
Hatch End Rail Station,72005,51.60941833,-0.368579032
Headstone Lane Rail Station,72006,51.60265001,-0.357197341
Highams Park Rail Station,52732,51.60834966,-0.000196097
Highbury & Islington Rail Station,52053,51.5465,-0.10408
Homerton Rail Station,52042,51.54705,-0.04282
Honor Oak Park Rail Station,87628,51.44998713,-0.045479634
Hoxton Rail Station,52080,51.53151157,-0.075654844
Ilford Rail Station,50423,51.559,0.06897
Imperial Wharf Rail Station,72245,51.47554,-0.18336
Kensal Green Rail Station,72272,51.53054033,-0.225063307
Kensal Rise Rail Station,72413,51.53452,-0.22003
Kensington (Olympia) Rail Station,72241,51.49793,-0.21016
Kentish Town West Rail Station,72420,51.54654847,-0.146629699
Kenton Rail Station,72008,51.58180172,-0.316958174
Kew Gardens Rail Station,87136,51.47707175,-0.285031
Kilburn High Road Rail Station,72313,51.53727778,-0.19221251
Leyton Midland Road Rail Station,51551,51.56972559,-0.008022916
Leytonstone High Road Rail Station,51547,51.56355455,0.008443905
London Euston Rail Station,72410,51.52991,-0.13592
London Fields Rail Station,52737,51.54115249,-0.057726231
London Liverpool Street Rail Station,52741,51.51799092,-0.081399726
New Cross Gate Rail Station,87603,51.47585,-0.04083
North Wembley Rail Station,72010,51.56259616,-0.303961346
Norwood Junction Rail Station,87643,51.39701692,-0.075195755
Peckham Rye Rail Station,87609,51.47018,-0.06984
Penge West Rail Station,87645,51.41755276,-0.060813796
Queen'S Park (London) Rail Station,72311,51.534,-0.20562
Queens Road Peckham Rail Station,88407,51.47356506,-0.057287751
Rectory Road Rail Station,51965,51.55850219,-0.068240632
Richmond Rail Station,87132,51.46332,-0.30059
Romford Rail Station,50401,51.57464,0.18237
Rotherhithe Rail Station,87566,51.50081592,-0.052022117
Seven Kings Rail Station,50417,51.56402551,0.097126802
Seven Sisters Rail Station,51955,51.58342,-0.07507
Shadwell Rail Station,52088,51.51128356,-0.056907737
Shenfield Rail Station,50328,51.63087834,0.329878667
Shepherd's Bush Rail Station,72242,51.51197,-0.22058
Shoreditch High Street Rail Station,52082,51.52337511,-0.075219638
Silver Street Rail Station,51950,51.61468871,-0.06721496
South Acton Rail Station,72253,51.49952,-0.27019
South Hampstead Rail Station,72314,51.54143259,-0.17885249
South Kenton Rail Station,72009,51.57021435,-0.308439855
South Tottenham Rail Station,51558,51.58043,-0.07182
Southbury Rail Station,51944,51.64870583,-0.052410314
St James Street (London) Rail Station,52734,51.58098108,-0.032891718
Stamford Hill Rail Station,51961,51.57446767,-0.076656316
Stoke Newington Rail Station,51963,51.56523284,-0.072861382
Stonebridge Park Rail Station,72031,51.54411102,-0.275804927
Sydenham Rail Station,87626,51.42724565,-0.054217967
Theobalds Grove Rail Station,51940,51.69245777,-0.034805035
Tottenham Hale Rail Station,51931,51.58830991,-0.059903914
Turkey Street Rail Station,51942,51.67262893,-0.04719009
Upminster Rail Station,50392,51.55910809,0.250911561
